Player,Team,Points,Cost,Roule
Rodriguez,West Brom,107,5.3,FOR
Diouf,Stoke,97,5.2,FOR
Nketiah,Arsenal,3,5.0,FOR
Depoitre,Huddersfield,93,5.0,FOR
Mousset,Bournemouth,35,4.9,FOR
Baldock,Brighton,2,4.9,FOR
Wells,Burnley,8,4.9,FOR
Calvert-Lewin,Everton,88,4.9,FOR
Diabat̩,Leicester,20,4.9,FOR
Sinclair,Watford,4,4.9,FOR
Robson-Kanu,West Brom,31,4.9,FOR
Hugill,West Ham,3,4.9,FOR
Ulloa,Brighton,20,4.8,FOR
Crouch,Stoke,68,4.8,FOR
Hemed,Brighton,43,4.6,FOR
Niasse,Everton,76,4.6,FOR
Solanke,Liverpool,27,4.6,FOR
Daly,Crystal Palace,0,4.5,FOR
Quaner,Huddersfield,44,4.5,FOR
Nmecha,Man City,2,4.5,FOR
Obafemi,Southampton,1,4.5,FOR
Campbell,Stoke,4,4.5,FOR
Sterling,Spurs,0,4.5,FOR
Tulloch,West Brom,0,4.5,FOR
